1,北海道・東北,仙台駅西口店,宮城県仙台市青葉区中央4-2-1,"38.258175,140.879158",営業時間／11:00〜23:00定休日／日曜TEL／022-214-7396,2007-09-10 23:48:07,2007-08-17 02:28:56
2,北海道・東北,八戸城下店,青森県八戸市城下二丁目18-1,"40.520277,141.481183",営業時間／11:00〜24:00定休日／無休TEL／0178-45-6116,2007-09-10 23:48:07,2007-08-17 02:28:56
3,北海道・東北,仙台駅東口店,宮城県仙台市宮城野区榴岡1-6-10,"38.258178,140.884952",営業時間／11:00〜23:00定休日／日曜・祝日TEL／022-291-4611,2007-09-10 23:48:07,2007-08-17 02:28:56
4,北海道・東北,石巻店,宮城県石巻市中里3-4-21,"38.44201,141.298184",営業時間／11:00〜23:00定休日／無休TEL／0225-94-5770,2007-09-10 23:48:07,2007-08-17 02:28:56
5,北海道・東北,盛岡中央通店,岩手県盛岡市中央通2-8-14,"39.705335,141.144519",営業時間／11:00〜23:00※14:30〜17:00は休業定休日／日曜・祝日TEL／019-604-3833,2007-09-10 23:48:07,2007-08-17 02:28:56
136,北海道・東北,クリネックススタジアム宮城店,宮城県仙台市宮城野区宮城野2-11-6,"38.258125,140.90445",日本製紙クリネックススタジアム宮城営業時間／平日11:00〜17:00土曜14:00〜22:00定休日／不定休,2008-03-31 12:19:19,2008-03-31 12:19:19
157,北海道・東北,秋田外旭川店,秋田県秋田市外旭川字八幡田121-1,"39.743303,140.109921",営業時間／11:00〜24:00定休日／無休TEL／018-869-9655（7/14より開通）,2008-07-01 12:00:08,2008-07-01 12:00:08
6,関東,亀戸店,東京都江東区亀戸1-39-6,"35.696316,139.825194",営業時間／11:00〜23:30定休日／無休TEL／03-3636-6600,2007-09-10 23:48:22,2007-08-17 02:29:52
7,関東,高崎駅西口店,群馬県高崎市八島町22-2高崎駅ビル1Ｆ,"36.322626,139.008998",営業時間／11:00〜23:00定休日／無休TEL／027-321-9970,2007-09-10 23:48:22,2007-08-17 02:29:52
8,関東,赤坂一ツ木通り店,東京都港区赤坂3-18-8,"35.675356,139.736185",赤坂エムプレスビル1F営業時間／11:00〜24:00定休日／無休TEL／03-3583-3737,2007-09-10 23:48:22,2007-08-17 02:29:52
9,関東,目黒店,東京都目黒区下目黒1-5-20,"35.634302,139.712215",営業時間／11:00〜23:00定休日／無休TEL／03-5434-3170,2007-09-10 23:48:22,2007-08-17 02:29:52
11,関東,神田司町店,東京都千代田区神田司町2-21-10,"35.692467,139.766461",冨士神田ビル1F営業時間／平日11:00〜23:00※15:00〜17:00は休業定休日／土曜・日曜・祝日TEL／03-5282-3385,2007-09-10 23:48:22,2007-08-17 02:29:52
12,関東,早稲田店,東京都新宿区馬場下町4,"35.705726,139.720075",サンリット上山1F営業時間／11:00〜23:00定休日／無休TEL／03-5879-5708,2007-09-10 23:48:22,2007-08-17 02:29:52
13,関東,船堀駅前店,東京都江戸川区船堀3-7-11,"35.68304,139.865453",営業時間／11:00〜25:00定休日／無休TEL／03-3675-2101,2007-09-10 23:48:22,2007-08-17 02:29:52
14,関東,日本橋横山町店,東京都中央区日本橋横山町2-4,"35.691604,139.781498",営業時間／平日11:00〜23:00土曜日11:00〜14:00定休日／日曜・祝日TEL／03-3249-0036,2007-09-10 23:48:22,2007-08-17 02:29:52
